Timestamp,Mode,Front_Dist_cm,Left_Dist_cm,Right_Dist_cm,Action,Notes
18:52:09.253,lidar,999.0,999.0,999.0,DRIVE,L=0.60 R=0.60
18:52:09.269,lidar,999.0,119.3,999.0,DRIVE,L=0.60 R=0.60
18:52:09.285,lidar,999.0,94.3,999.0,DRIVE,L=0.60 R=0.60
18:52:09.301,lidar,171.4,100.3,999.0,DRIVE,L=0.60 R=0.60
18:52:09.317,lidar,171.4,100.3,64.8,DRIVE,L=0.60 R=0.60
18:52:09.336,lidar,171.4,100.3,64.8,DRIVE,L=0.60 R=0.60
18:52:09.352,lidar,171.4,100.3,64.8,DRIVE,L=0.60 R=0.60
18:52:09.368,lidar,171.4,109.3,64.8,DRIVE,L=0.60 R=0.60
18:52:09.384,lidar,171.4,94.5,64.8,DRIVE,L=0.60 R=0.60
18:52:09.401,lidar,167.4,99.5,64.8,DRIVE,L=0.60 R=0.60
18:52:09.417,lidar,167.4,99.5,60.5,DRIVE,L=0.60 R=0.60
18:52:09.433,lidar,167.4,99.5,60.5,DRIVE,L=0.60 R=0.60
18:52:09.449,lidar,167.4,99.5,60.5,DRIVE,L=0.60 R=0.60
18:52:09.465,lidar,167.4,99.5,60.5,DRIVE,L=0.60 R=0.60
18:52:09.481,lidar,167.4,78.7,60.5,DRIVE,L=0.60 R=0.60
18:52:09.497,lidar,162.0,98.3,60.5,DRIVE,L=0.60 R=0.60
18:52:09.513,lidar,165.6,98.3,94.5,DRIVE,L=0.60 R=0.60
18:52:09.529,lidar,165.6,98.3,54.9,DRIVE,L=0.60 R=0.60
18:52:09.546,lidar,165.6,98.3,54.9,DRIVE,L=0.60 R=0.60
18:52:09.562,lidar,165.6,98.3,54.9,DRIVE,L=0.60 R=0.60
18:52:09.578,lidar,165.6,75.5,54.9,DRIVE,L=0.60 R=0.60
18:52:09.594,lidar,173.6,97.6,54.9,DRIVE,L=0.60 R=0.60
18:52:09.610,lidar,163.2,97.6,76.9,DRIVE,L=0.60 R=0.60
18:52:09.626,lidar,163.2,97.6,52.6,DRIVE,L=0.60 R=0.60
18:52:09.642,lidar,163.2,97.6,52.6,DRIVE,L=0.60 R=0.60
18:52:09.658,lidar,163.2,97.6,52.6,DRIVE,L=0.60 R=0.60
18:52:09.674,lidar,163.2,103.6,52.6,DRIVE,L=0.60 R=0.60
18:52:09.690,lidar,172.2,95.7,52.6,DRIVE,L=0.60 R=0.60
18:52:09.707,lidar,158.6,95.7,52.6,DRIVE,L=0.60 R=0.60
18:52:09.723,lidar,158.6,95.7,52.9,DRIVE,L=0.60 R=0.60
18:52:09.739,lidar,158.6,95.7,52.9,DRIVE,L=0.60 R=0.60
18:52:09.755,lidar,158.6,95.7,52.9,DRIVE,L=0.60 R=0.60
18:52:09.771,lidar,158.6,102.1,52.9,DRIVE,L=0.60 R=0.60
18:52:09.787,lidar,158.6,90.0,52.9,DRIVE,L=0.60 R=0.60
18:52:09.803,lidar,154.8,93.0,52.9,DRIVE,L=0.60 R=0.60
18:52:09.819,lidar,154.8,93.0,100.9,DRIVE,L=0.60 R=0.60
18:52:09.835,lidar,154.8,93.0,100.9,DRIVE,L=0.60 R=0.60
18:52:09.852,lidar,154.8,93.0,100.9,DRIVE,L=0.60 R=0.60
18:52:09.868,lidar,154.8,95.0,100.9,DRIVE,L=0.60 R=0.60
18:52:09.884,lidar,154.8,66.2,100.9,DRIVE,L=0.60 R=0.60
18:52:09.900,lidar,149.7,88.7,100.9,DRIVE,L=0.60 R=0.60
18:52:09.916,lidar,145.8,88.7,108.0,DRIVE,L=0.60 R=0.60
18:52:09.932,lidar,145.8,88.7,120.9,DRIVE,L=0.60 R=0.60
18:52:09.948,lidar,145.8,88.7,120.9,DRIVE,L=0.60 R=0.60
