Timestamp,Mode,Front_Dist_cm,Left_Dist_cm,Right_Dist_cm,Action,Notes
12:08:42.372,lidar,999.0,999.0,999.0,DRIVE,L=0.60 R=0.60
12:08:42.388,lidar,999.0,999.0,86.3,DRIVE,L=0.60 R=0.60
12:08:42.404,lidar,999.0,999.0,86.3,DRIVE,L=0.60 R=0.60
12:08:42.421,lidar,999.0,999.0,86.3,DRIVE,L=0.60 R=0.60
12:08:42.437,lidar,999.0,150.3,86.3,DRIVE,L=0.60 R=0.60
12:08:42.453,lidar,53.0,53.9,86.3,DRIVE,L=0.28 R=0.28
12:08:42.470,lidar,63.1,53.9,96.2,DRIVE,L=0.37 R=0.37
12:08:42.486,lidar,63.1,53.9,85.3,DRIVE,L=0.37 R=0.37
12:08:42.502,lidar,63.1,53.9,85.3,DRIVE,L=0.37 R=0.37
12:08:42.518,lidar,63.1,53.9,85.3,DRIVE,L=0.37 R=0.37
12:08:42.535,lidar,63.1,77.9,85.3,DRIVE,L=0.37 R=0.37
12:08:42.551,lidar,75.1,52.8,85.3,DRIVE,L=0.47 R=0.47
12:08:42.567,lidar,60.6,52.8,83.7,DRIVE,L=0.35 R=0.35
12:08:42.583,lidar,60.6,52.8,84.2,DRIVE,L=0.35 R=0.35
12:08:42.599,lidar,60.6,52.8,84.2,DRIVE,L=0.35 R=0.35
12:08:42.616,lidar,60.6,52.8,84.2,DRIVE,L=0.35 R=0.35
12:08:42.632,lidar,60.6,69.8,84.2,DRIVE,L=0.35 R=0.35
12:08:42.648,lidar,60.6,52.9,84.2,DRIVE,L=0.35 R=0.35
12:08:42.664,lidar,53.3,52.9,67.2,DRIVE,L=0.29 R=0.29
12:08:42.680,lidar,53.3,52.9,83.5,DRIVE,L=0.29 R=0.29
12:08:42.696,lidar,53.3,52.9,84.2,DRIVE,L=0.29 R=0.29
12:08:42.713,lidar,53.3,52.9,84.2,DRIVE,L=0.29 R=0.29
12:08:42.729,lidar,53.3,52.9,84.2,DRIVE,L=0.29 R=0.29
12:08:42.745,lidar,53.3,87.9,84.2,DRIVE,L=0.29 R=0.29
12:08:42.761,lidar,48.8,50.0,84.2,DRIVE,L=0.25 R=0.25
12:08:42.777,lidar,48.8,50.0,82.6,DRIVE,L=0.25 R=0.25
12:08:42.794,lidar,48.8,50.0,82.2,DRIVE,L=0.25 R=0.25
12:08:42.810,lidar,48.8,50.0,82.2,DRIVE,L=0.25 R=0.25
12:08:42.826,lidar,48.8,50.0,82.2,DRIVE,L=0.25 R=0.25
12:08:42.842,lidar,48.8,86.0,82.2,DRIVE,L=0.25 R=0.25
12:08:42.858,lidar,42.6,51.2,82.2,DRIVE,L=0.19 R=0.19
12:08:42.875,lidar,45.9,51.2,98.5,DRIVE,L=0.22 R=0.22
12:08:42.891,lidar,45.9,51.2,82.5,DRIVE,L=0.22 R=0.22
12:08:42.907,lidar,45.9,51.2,82.5,DRIVE,L=0.22 R=0.22
12:08:42.923,lidar,45.9,51.2,82.5,DRIVE,L=0.22 R=0.22
12:08:42.940,lidar,45.9,85.2,82.5,DRIVE,L=0.22 R=0.22
12:08:42.956,lidar,40.5,46.0,82.5,DRIVE,L=0.18 R=0.18
12:08:42.972,lidar,44.1,46.0,80.9,DRIVE,L=0.21 R=0.21
12:08:42.988,lidar,44.1,46.0,81.9,DRIVE,L=0.21 R=0.21
12:08:43.005,lidar,44.1,46.0,81.9,DRIVE,L=0.21 R=0.21
12:08:43.021,lidar,44.1,46.0,81.9,DRIVE,L=0.21 R=0.21
12:08:43.037,lidar,44.1,76.0,81.9,DRIVE,L=0.21 R=0.21
12:08:43.053,lidar,57.1,45.2,81.9,DRIVE,L=0.32 R=0.32
12:08:43.069,lidar,42.3,45.2,46.9,DRIVE,L=0.19 R=0.19
12:08:43.086,lidar,42.3,45.2,81.4,DRIVE,L=0.19 R=0.19
12:08:43.102,lidar,42.3,45.2,81.4,DRIVE,L=0.19 R=0.19
12:08:43.118,lidar,42.3,45.2,81.4,DRIVE,L=0.19 R=0.19
12:08:43.134,lidar,42.3,45.2,81.4,DRIVE,L=0.19 R=0.19
12:08:43.151,lidar,42.3,43.6,81.4,DRIVE,L=0.19 R=0.19
12:08:43.167,lidar,39.0,43.6,81.4,DRIVE,L=0.16 R=0.16
12:08:43.183,lidar,39.0,43.6,81.1,DRIVE,L=0.16 R=0.16
12:08:43.199,lidar,39.0,43.6,81.1,DRIVE,L=0.16 R=0.16
12:08:43.215,lidar,39.0,43.6,81.1,DRIVE,L=0.16 R=0.16
12:08:43.232,lidar,39.0,43.6,81.1,DRIVE,L=0.16 R=0.16
12:08:43.248,lidar,39.0,79.6,81.1,DRIVE,L=0.16 R=0.16
12:08:43.264,lidar,39.0,41.8,81.1,DRIVE,L=0.16 R=0.16
12:08:43.280,lidar,39.0,41.8,91.8,DRIVE,L=0.16 R=0.16
12:08:43.297,lidar,39.0,41.8,79.9,DRIVE,L=0.16 R=0.16
12:08:43.313,lidar,39.0,41.8,79.9,DRIVE,L=0.16 R=0.16
12:08:43.329,lidar,39.0,41.8,79.9,DRIVE,L=0.16 R=0.16
12:08:43.345,lidar,39.0,77.8,79.9,DRIVE,L=0.16 R=0.16
12:08:43.361,lidar,30.2,41.9,79.9,DRIVE,L=0.10 R=0.10
12:08:43.377,lidar,35.1,41.9,76.3,DRIVE,L=0.13 R=0.13
12:08:43.394,lidar,35.1,41.9,80.8,DRIVE,L=0.13 R=0.13
12:08:43.410,lidar,35.1,41.9,80.8,DRIVE,L=0.13 R=0.13
12:08:43.426,lidar,35.1,41.9,80.8,DRIVE,L=0.13 R=0.13
12:08:43.442,lidar,35.1,77.9,80.8,DRIVE,L=0.13 R=0.13
12:08:43.459,lidar,30.5,40.8,80.8,DRIVE,L=0.10 R=0.10
12:08:43.475,lidar,34.2,40.8,49.3,DRIVE,L=0.12 R=0.12
12:08:43.491,lidar,34.2,40.8,80.4,DRIVE,L=0.12 R=0.12
12:08:43.507,lidar,34.2,40.8,80.4,DRIVE,L=0.12 R=0.12
12:08:43.524,lidar,34.2,40.8,80.4,DRIVE,L=0.12 R=0.12
12:08:43.540,lidar,34.2,50.8,80.4,DRIVE,L=0.12 R=0.12
12:08:43.556,lidar,34.2,42.4,80.4,DRIVE,L=0.12 R=0.12
12:08:43.572,lidar,30.7,42.4,33.9,DRIVE,L=0.02 R=0.18
12:08:43.589,lidar,30.7,42.4,79.1,DRIVE,L=0.10 R=0.10
12:08:43.605,lidar,30.7,42.4,79.1,DRIVE,L=0.10 R=0.10
12:08:43.621,lidar,30.7,42.4,79.1,DRIVE,L=0.10 R=0.10
12:08:43.637,lidar,30.7,43.4,79.1,DRIVE,L=0.10 R=0.10
12:08:43.653,lidar,30.7,44.1,79.1,DRIVE,L=0.10 R=0.10
12:08:43.670,lidar,27.9,45.1,30.7,DRIVE,L=-0.02 R=0.22
12:08:43.686,lidar,27.9,45.1,78.6,DRIVE,L=0.10 R=0.10
12:08:43.702,lidar,27.9,45.1,79.6,DRIVE,L=0.10 R=0.10
