Timestamp,Mode,Front_Dist_cm,Left_Dist_cm,Right_Dist_cm,Action,Notes
14:04:59.768,lidar,999.0,999.0,999.0,DRIVE,L=0.60 R=0.60
14:04:59.784,lidar,999.0,999.0,211.7,DRIVE,L=0.60 R=0.60
14:04:59.801,lidar,999.0,999.0,122.7,DRIVE,L=0.60 R=0.60
14:04:59.818,lidar,999.0,999.0,122.7,DRIVE,L=0.60 R=0.60
14:04:59.834,lidar,999.0,999.0,122.7,DRIVE,L=0.60 R=0.60
14:04:59.851,lidar,999.0,21.0,122.7,DRIVE,L=0.73 R=0.47
14:04:59.867,lidar,114.4,40.2,129.7,DRIVE,L=0.63 R=0.57
14:04:59.883,lidar,114.4,40.2,140.4,DRIVE,L=0.63 R=0.57
14:04:59.900,lidar,114.4,40.2,117.7,DRIVE,L=0.63 R=0.57
14:04:59.916,lidar,114.4,40.2,117.7,DRIVE,L=0.63 R=0.57
14:04:59.932,lidar,114.4,40.2,117.7,DRIVE,L=0.63 R=0.57
14:04:59.948,lidar,114.4,18.9,117.7,DRIVE,L=0.74 R=0.45
14:04:59.965,lidar,106.2,40.9,117.7,DRIVE,L=0.62 R=0.58
14:04:59.981,lidar,109.2,40.9,153.7,DRIVE,L=0.62 R=0.58
14:04:59.997,lidar,109.2,40.9,120.7,DRIVE,L=0.62 R=0.58
14:05:00.013,lidar,109.2,40.9,120.7,DRIVE,L=0.62 R=0.58
14:05:00.030,lidar,109.2,40.9,120.7,DRIVE,L=0.62 R=0.58
14:05:00.046,lidar,109.2,16.2,120.7,DRIVE,L=0.76 R=0.44
14:05:00.062,lidar,80.7,47.3,120.7,DRIVE,L=0.60 R=0.60
14:05:00.079,lidar,107.7,47.3,157.7,DRIVE,L=0.60 R=0.60
14:05:00.095,lidar,107.7,47.3,138.5,DRIVE,L=0.60 R=0.60
14:05:00.111,lidar,107.7,47.3,138.5,DRIVE,L=0.60 R=0.60
14:05:00.127,lidar,107.7,47.3,138.5,DRIVE,L=0.60 R=0.60
14:05:00.144,lidar,107.7,14.3,138.5,DRIVE,L=0.77 R=0.43
14:05:00.160,lidar,71.3,51.7,138.5,DRIVE,L=0.51 R=0.51
14:05:00.176,lidar,109.3,51.7,172.5,DRIVE,L=0.60 R=0.60
14:05:00.192,lidar,109.3,51.7,195.5,DRIVE,L=0.60 R=0.60
14:05:00.209,lidar,109.3,51.7,195.5,DRIVE,L=0.60 R=0.60
