Timestamp,Mode,Front_Dist_cm,Left_Dist_cm,Right_Dist_cm,Action,Notes
00:28:53.725,lidar,78.1,60.5,76.3,FORWARD,Speed=0.50
00:28:54.096,lidar,77.1,58.5,74.8,FORWARD,Speed=0.49
00:28:54.246,lidar,70.4,56.9,68.3,FORWARD,Speed=0.43
00:28:54.396,lidar,66.4,52.9,64.6,FORWARD,Speed=0.40
00:28:54.547,lidar,58.6,51.2,57.6,FORWARD,Speed=0.33
00:28:54.717,lidar,51.7,48.0,51.1,FORWARD,Speed=0.27
00:28:54.867,lidar,48.6,46.5,48.1,FORWARD,Speed=0.25
00:28:55.018,lidar,43.3,44.2,43.0,FORWARD,Speed=0.20
00:28:55.168,lidar,41.1,42.9,40.7,FORWARD,Speed=0.18
00:28:55.318,lidar,37.0,41.4,36.8,FORWARD,Speed=0.15
00:28:55.468,lidar,35.4,40.5,35.0,FORWARD,Speed=0.13
00:28:55.619,lidar,31.6,39.1,31.1,FORWARD,Speed=0.10
00:28:55.769,lidar,29.9,38.6,29.3,FORWARD,Speed=0.10
00:28:55.919,lidar,27.5,38.0,26.6,FORWARD,Speed=0.10
00:28:56.069,lidar,26.1,37.6,25.2,FORWARD,Speed=0.10
00:28:56.220,lidar,23.3,34.1,22.7,FORWARD,Speed=0.10
00:28:56.370,lidar,21.8,31.3,21.3,FORWARD,Speed=0.10
00:28:56.621,lidar,19.0,26.9,18.4,AVOIDING,Obstacle Detected
00:28:57.021,lidar,19.0,26.9,18.4,TURNED,Avoidance Maneuver Completed
00:28:57.171,lidar,21.7,22.1,16.8,FORWARD,Speed=0.10
00:28:57.422,lidar,24.8,38.1,16.8,FORWARD,Speed=0.10
00:28:57.572,lidar,23.3,37.5,16.2,FORWARD,Speed=0.10
00:28:57.722,lidar,22.5,36.2,15.9,FORWARD,Speed=0.10
00:28:57.873,lidar,21.3,35.4,15.2,FORWARD,Speed=0.10
00:28:58.123,lidar,19.9,34.6,15.5,AVOIDING,Obstacle Detected
00:28:58.524,lidar,19.9,34.6,15.5,TURNED,Avoidance Maneuver Completed
00:28:58.674,lidar,32.5,36.3,14.6,FORWARD,Speed=0.11
00:28:58.925,lidar,32.4,35.6,14.5,FORWARD,Speed=0.11
00:28:59.075,lidar,30.0,35.0,14.5,FORWARD,Speed=0.10
00:28:59.225,lidar,28.5,34.2,14.8,FORWARD,Speed=0.10
00:28:59.375,lidar,26.9,33.9,15.0,FORWARD,Speed=0.10
00:28:59.526,lidar,26.0,33.4,15.1,FORWARD,Speed=0.10
00:28:59.676,lidar,24.2,33.2,15.3,FORWARD,Speed=0.10
00:28:59.826,lidar,23.4,32.6,15.4,FORWARD,Speed=0.10
00:28:59.976,lidar,22.1,32.2,15.4,FORWARD,Speed=0.10
00:29:00.126,lidar,21.1,31.6,15.4,FORWARD,Speed=0.10
00:29:00.277,lidar,20.4,31.5,15.4,FORWARD,Speed=0.10
00:29:00.427,lidar,20.3,31.6,15.4,FORWARD,Speed=0.10
00:29:00.577,lidar,20.4,31.5,15.4,FORWARD,Speed=0.10
00:29:00.727,lidar,20.4,31.6,15.4,FORWARD,Speed=0.10
00:29:00.878,lidar,20.2,31.6,15.3,FORWARD,Speed=0.10
00:29:01.028,lidar,20.4,31.5,15.4,FORWARD,Speed=0.10
00:29:01.178,lidar,20.4,31.5,15.3,FORWARD,Speed=0.10
00:29:01.328,lidar,20.4,31.6,15.4,FORWARD,Speed=0.10
00:29:01.478,lidar,20.3,31.5,15.3,FORWARD,Speed=0.10
00:29:01.629,lidar,20.5,31.6,15.4,FORWARD,Speed=0.10
00:29:01.779,lidar,20.3,31.6,15.3,FORWARD,Speed=0.10
00:29:01.929,lidar,20.4,13.9,15.4,FORWARD,Speed=0.10
00:29:02.079,lidar,20.3,7.1,15.4,FORWARD,Speed=0.10
00:29:02.230,lidar,20.4,5.3,15.3,FORWARD,Speed=0.10
00:29:02.380,lidar,20.1,5.6,15.3,FORWARD,Speed=0.10
00:29:02.530,lidar,20.3,6.2,15.4,FORWARD,Speed=0.10
00:29:02.680,lidar,21.7,6.5,17.1,FORWARD,Speed=0.10
00:29:02.832,lidar,29.4,6.7,24.1,FORWARD,Speed=0.10
00:29:02.982,lidar,36.5,7.0,31.3,FORWARD,Speed=0.14
00:29:03.133,lidar,52.1,7.3,45.8,FORWARD,Speed=0.28
00:29:03.323,lidar,68.9,7.4,53.7,FORWARD,Speed=0.42
00:29:03.514,lidar,74.0,7.9,66.5,FORWARD,Speed=0.46
00:29:03.664,lidar,83.1,7.3,77.5,FORWARD,Speed=0.54
00:29:03.834,lidar,91.9,7.6,89.0,FORWARD,Speed=0.60
00:29:03.985,lidar,95.8,7.3,92.0,FORWARD,Speed=0.60
00:29:04.135,lidar,108.7,7.3,98.3,FORWARD,Speed=0.60
00:29:04.285,lidar,116.7,7.6,94.5,FORWARD,Speed=0.60
00:29:04.435,lidar,134.0,7.5,105.2,FORWARD,Speed=0.60
00:29:04.585,lidar,133.5,7.8,112.5,FORWARD,Speed=0.60
00:29:04.736,lidar,141.1,8.4,115.4,FORWARD,Speed=0.60
00:29:04.886,lidar,149.0,7.9,119.8,FORWARD,Speed=0.60
00:29:05.036,lidar,159.6,8.8,121.1,FORWARD,Speed=0.60
00:29:05.186,lidar,162.9,8.5,122.7,FORWARD,Speed=0.60
00:29:05.337,lidar,168.2,8.4,123.3,FORWARD,Speed=0.60
00:29:05.487,lidar,173.7,8.7,122.9,FORWARD,Speed=0.60
00:29:05.637,lidar,166.9,9.2,119.7,FORWARD,Speed=0.60
00:29:05.787,lidar,160.5,10.4,118.0,FORWARD,Speed=0.60
00:29:05.937,lidar,150.0,25.8,113.0,FORWARD,Speed=0.60
00:29:06.088,lidar,143.1,96.7,110.2,FORWARD,Speed=0.60
00:29:06.238,lidar,133.4,94.2,104.7,FORWARD,Speed=0.60
00:29:06.388,lidar,129.3,91.1,102.0,FORWARD,Speed=0.60
00:29:06.538,lidar,122.1,90.4,96.8,FORWARD,Speed=0.60
00:29:06.689,lidar,118.8,86.8,94.3,FORWARD,Speed=0.60
00:29:06.839,lidar,111.8,85.0,89.4,FORWARD,Speed=0.60
00:29:06.989,lidar,103.9,85.1,85.1,FORWARD,Speed=0.60
00:29:07.139,lidar,99.5,86.3,78.4,FORWARD,Speed=0.60
00:29:07.289,lidar,94.1,105.1,73.9,FORWARD,Speed=0.60
00:29:07.440,lidar,85.7,100.8,65.7,FORWARD,Speed=0.56
00:29:07.590,lidar,82.4,92.0,62.3,FORWARD,Speed=0.53
00:29:07.740,lidar,74.5,87.9,55.5,FORWARD,Speed=0.47
00:29:07.910,lidar,67.7,80.6,52.8,FORWARD,Speed=0.41
00:29:08.061,lidar,64.5,77.7,48.2,FORWARD,Speed=0.38
00:29:08.211,lidar,58.2,71.5,46.1,FORWARD,Speed=0.33
00:29:08.361,lidar,55.6,68.5,43.2,FORWARD,Speed=0.31
00:29:08.511,lidar,50.5,63.7,41.3,FORWARD,Speed=0.26
00:29:08.662,lidar,48.7,61.5,38.2,FORWARD,Speed=0.25
00:29:08.812,lidar,44.9,57.2,36.7,FORWARD,Speed=0.21
00:29:08.962,lidar,42.5,55.2,33.2,FORWARD,Speed=0.19
00:29:09.112,lidar,39.2,51.6,31.6,FORWARD,Speed=0.16
00:29:09.263,lidar,37.7,49.8,29.1,FORWARD,Speed=0.15
00:29:09.413,lidar,36.6,47.0,28.2,FORWARD,Speed=0.14
00:29:09.563,lidar,33.7,45.8,25.9,FORWARD,Speed=0.12
00:29:09.713,lidar,31.0,43.6,24.9,FORWARD,Speed=0.10
00:29:09.864,lidar,29.3,42.7,23.3,FORWARD,Speed=0.10
00:29:10.014,lidar,27.9,41.2,22.4,FORWARD,Speed=0.10
00:29:10.164,lidar,25.2,40.6,20.4,FORWARD,Speed=0.10
00:29:10.314,lidar,24.0,39.4,19.7,FORWARD,Speed=0.10
00:29:10.464,lidar,22.1,38.9,18.5,FORWARD,Speed=0.10
00:29:10.615,lidar,21.1,38.1,17.7,FORWARD,Speed=0.10
00:29:10.865,lidar,18.2,36.1,15.9,AVOIDING,Obstacle Detected
00:29:11.267,lidar,18.2,36.1,15.9,TURNED,Avoidance Maneuver Completed
00:29:11.417,lidar,27.5,36.9,14.5,FORWARD,Speed=0.10
00:29:11.668,lidar,26.8,38.3,14.5,FORWARD,Speed=0.10
00:29:11.818,lidar,25.4,37.4,14.6,FORWARD,Speed=0.10
00:29:11.968,lidar,23.7,37.1,14.7,FORWARD,Speed=0.10
00:29:12.118,lidar,22.9,36.8,14.9,FORWARD,Speed=0.10
00:29:12.269,lidar,22.3,36.7,15.0,FORWARD,Speed=0.10
00:29:12.419,lidar,22.2,36.6,15.0,FORWARD,Speed=0.10
00:29:12.569,lidar,22.2,36.7,15.0,FORWARD,Speed=0.10
00:29:12.719,lidar,22.4,36.6,15.0,FORWARD,Speed=0.10
00:29:12.870,lidar,22.2,36.7,14.9,FORWARD,Speed=0.10
00:29:13.020,lidar,22.3,36.7,15.0,FORWARD,Speed=0.10
00:29:13.170,lidar,22.4,36.7,15.0,FORWARD,Speed=0.10
00:29:13.320,lidar,22.3,36.6,14.9,FORWARD,Speed=0.10
00:29:13.471,lidar,22.2,36.7,14.8,FORWARD,Speed=0.10
00:29:13.621,lidar,22.3,36.3,15.0,FORWARD,Speed=0.10
00:29:13.872,lidar,19.7,36.0,14.7,AVOIDING,Obstacle Detected
00:29:14.272,lidar,19.7,36.0,14.7,TURNED,Avoidance Maneuver Completed
00:29:14.422,lidar,41.5,64.6,40.1,FORWARD,Speed=0.18
00:29:14.693,lidar,71.1,83.8,35.3,FORWARD,Speed=0.44
00:29:14.924,lidar,79.3,100.7,30.5,FORWARD,Speed=0.51
00:29:15.094,lidar,76.4,100.3,28.0,FORWARD,Speed=0.48
00:29:15.244,lidar,73.1,97.4,57.6,FORWARD,Speed=0.46
00:29:15.394,lidar,67.5,95.8,59.9,FORWARD,Speed=0.41
00:29:15.545,lidar,63.7,92.9,61.4,FORWARD,Speed=0.37
00:29:15.695,lidar,57.1,91.3,53.9,FORWARD,Speed=0.32
00:29:15.845,lidar,53.9,89.1,51.6,FORWARD,Speed=0.29
00:29:15.995,lidar,48.1,87.7,46.0,FORWARD,Speed=0.24
00:29:16.146,lidar,45.9,86.4,43.7,FORWARD,Speed=0.22
00:29:16.296,lidar,41.6,85.9,39.6,FORWARD,Speed=0.19
00:29:16.446,lidar,39.8,84.7,37.9,FORWARD,Speed=0.17
00:29:16.596,lidar,36.0,84.4,34.2,FORWARD,Speed=0.14
00:29:16.746,lidar,34.1,84.1,32.0,FORWARD,Speed=0.12
00:29:16.897,lidar,30.9,83.5,29.1,FORWARD,Speed=0.10
00:29:17.047,lidar,29.4,82.8,27.9,FORWARD,Speed=0.10
00:29:17.197,lidar,27.1,82.9,25.5,FORWARD,Speed=0.10
00:29:17.347,lidar,26.1,82.7,24.5,FORWARD,Speed=0.10
00:29:17.498,lidar,23.9,82.6,22.7,FORWARD,Speed=0.10
00:29:17.648,lidar,22.7,82.4,21.7,FORWARD,Speed=0.10
00:29:17.899,lidar,19.1,83.7,17.6,AVOIDING,Obstacle Detected
00:29:18.299,lidar,19.1,83.7,17.6,TURNED,Avoidance Maneuver Completed
00:29:18.449,lidar,22.1,83.5,14.2,FORWARD,Speed=0.10
00:29:18.700,lidar,115.8,85.0,14.1,FORWARD,Speed=0.60
00:29:18.991,lidar,109.8,81.7,13.5,FORWARD,Speed=0.60
00:29:19.141,lidar,106.0,80.4,13.0,FORWARD,Speed=0.60
00:29:19.291,lidar,98.9,73.4,27.5,FORWARD,Speed=0.60
00:29:19.442,lidar,98.8,72.8,19.7,FORWARD,Speed=0.60
00:29:19.592,lidar,89.8,71.8,17.8,FORWARD,Speed=0.60
00:29:19.742,lidar,89.7,72.2,17.6,FORWARD,Speed=0.60
00:29:19.892,lidar,89.8,71.8,17.6,FORWARD,Speed=0.60
