Timestamp,Mode,Front_Dist_cm,Left_Dist_cm,Right_Dist_cm,Action,Notes
12:03:34.186,lidar,999.0,999.0,999.0,DRIVE,L=0.60 R=0.60
12:03:34.203,lidar,999.0,999.0,999.0,DRIVE,L=0.60 R=0.60
12:03:34.219,lidar,999.0,999.0,999.0,DRIVE,L=0.60 R=0.60
12:03:34.235,lidar,999.0,70.4,999.0,DRIVE,L=0.60 R=0.60
12:03:34.251,lidar,113.7,64.3,115.3,DRIVE,L=0.60 R=0.60
12:03:34.268,lidar,113.7,64.3,149.2,DRIVE,L=0.60 R=0.60
12:03:34.284,lidar,113.7,64.3,161.2,DRIVE,L=0.60 R=0.60
12:03:34.302,lidar,113.7,64.3,161.2,DRIVE,L=0.60 R=0.60
12:03:34.318,lidar,113.7,64.3,161.2,DRIVE,L=0.60 R=0.60
12:03:34.334,lidar,113.7,67.6,161.2,DRIVE,L=0.60 R=0.60
12:03:34.351,lidar,96.6,61.2,161.2,DRIVE,L=0.60 R=0.60
12:03:34.367,lidar,106.6,61.2,115.9,DRIVE,L=0.60 R=0.60
12:03:34.383,lidar,106.6,61.2,152.9,DRIVE,L=0.60 R=0.60
12:03:34.399,lidar,106.6,61.2,152.9,DRIVE,L=0.60 R=0.60
12:03:34.415,lidar,106.6,61.2,152.9,DRIVE,L=0.60 R=0.60
12:03:34.432,lidar,106.6,109.2,152.9,DRIVE,L=0.60 R=0.60
12:03:34.448,lidar,78.7,56.9,152.9,DRIVE,L=0.53 R=0.53
12:03:34.464,lidar,100.7,56.9,107.0,DRIVE,L=0.63 R=0.63
12:03:34.480,lidar,100.7,56.9,142.5,DRIVE,L=0.63 R=0.63
12:03:34.496,lidar,100.7,56.9,142.5,DRIVE,L=0.63 R=0.63
12:03:34.512,lidar,100.7,56.9,142.5,DRIVE,L=0.63 R=0.63
12:03:34.529,lidar,100.7,94.9,142.5,DRIVE,L=0.60 R=0.60
12:03:34.545,lidar,55.6,51.4,142.5,DRIVE,L=0.38 R=0.38
12:03:34.561,lidar,88.8,51.4,101.4,DRIVE,L=0.66 R=0.66
12:03:34.577,lidar,88.8,51.4,132.0,DRIVE,L=0.66 R=0.66
12:03:34.593,lidar,88.8,51.4,132.0,DRIVE,L=0.66 R=0.66
12:03:34.609,lidar,88.8,51.4,132.0,DRIVE,L=0.66 R=0.66
12:03:34.626,lidar,88.8,53.4,132.0,DRIVE,L=0.64 R=0.64
12:03:34.642,lidar,88.8,46.3,132.0,DRIVE,L=0.70 R=0.70
12:03:34.658,lidar,79.1,47.5,104.6,DRIVE,L=0.61 R=0.61
12:03:34.674,lidar,79.1,47.5,115.2,DRIVE,L=0.61 R=0.61
12:03:34.690,lidar,79.1,47.5,123.2,DRIVE,L=0.61 R=0.61
12:03:34.706,lidar,79.1,47.5,123.2,DRIVE,L=0.61 R=0.61
12:03:34.723,lidar,79.1,47.5,123.2,DRIVE,L=0.61 R=0.61
12:03:34.739,lidar,79.1,70.2,123.2,DRIVE,L=0.51 R=0.51
